id,name,email,gender,grade
49,Humberto Weaben,hweaben1c@cyberchimps.com,Male,1.3
50,Gennifer Turnock,gturnock1d@tinyurl.com,Female,6.6
51,Bran Aloshikin,baloshikin1e@cdbaby.com,Male,7.8
52,Tobit Bernette,tbernette1f@hao123.com,Male,9.1
53,Tracy Ashcroft,tashcroft1g@zimbio.com,Genderqueer,1.8
54,Freddi Keoghane,fkeoghane1h@noaa.gov,Female,1.2
55,Nilson Brisbane,nbrisbane1i@yahoo.com,Male,1.2
56,Ianthe Kneaphsey,ikneaphsey1j@youtube.com,Female,2.2
57,Bryce Mallebone,bmallebone1k@reuters.com,Male,8.4
58,Ode Jeste,ojeste1l@rambler.ru,Male,8.4
59,Debbi Edmead,dedmead1m@abc.net.au,Female,4.1
60,Thea Gethyn,tgethyn1n@pen.io,Female,9.7
61,Rosaline Piniur,rpiniur1o@is.gd,Female,6.4
62,Lyell Worboys,lworboys1p@hugedomains.com,Male,2.4
63,Camile Binnell,cbinnell1q@technorati.com,Female,7.1
64,Itch Aynold,iaynold1r@ucsd.edu,Male,3
65,Read St. Paul,rst1s@ibm.com,Male,8.6
66,Warde Kirmond,wkirmond1t@java.com,Male,9.1
67,Hortense Degli Antoni,hdegli1u@narod.ru,Female,1.8
68,Isiahi Clampett,iclampett1v@ft.com,Male,8.1
69,Carlie Huxtable,chuxtable1w@mlb.com,Male,4.7
70,Mellie Gerler,mgerler1x@nature.com,Female,10
71,Eadmund Orneles,eorneles1y@list-manage.com,Male,6.3
72,Gisella McKellen,gmckellen1z@flickr.com,Female,2.7
73,Kent Medwell,kmedwell20@soup.io,Male,9.7
74,Odella Duckels,oduckels21@google.cn,Female,1.8
75,Carlie Ranscombe,cranscombe22@tuttocitta.it,Female,9.1
76,Robinia Braunroth,rbraunroth23@msn.com,Female,9.3
77,Gianina Reolfo,greolfo24@elegantthemes.com,Female,3.3
78,Claretta Veltmann,cveltmann25@nps.gov,Female,7
79,Vikki Brunner,vbrunner26@berkeley.edu,Female,1
80,Nehemiah Ludmann,nludmann27@pen.io,Male,7.2
81,Ardra Venes,avenes28@chron.com,Female,1.8
82,Hartley Bowes,hbowes29@google.nl,Male,1.3
83,Jereme Barenskie,jbarenskie2a@blog.com,Genderfluid,6.1
84,Cletus Coxhead,ccoxhead2b@upenn.edu,Male,8.3
85,Tallie Males,tmales2c@istockphoto.com,Male,6.7
86,Daile Rutt,drutt2d@cmu.edu,Female,6.8
87,Romola Petera,rpetera2e@va.gov,Polygender,8
88,Eugine Dumingo,edumingo2f@amazon.de,Female,2
89,Catlin Sieghard,csieghard2g@mac.com,Female,8.5
90,Starr Ivashin,sivashin2h@printfriendly.com,Genderfluid,6.3
91,Poul Ruppertz,pruppertz2i@hc360.com,Male,5.6
92,Jasmine Stephens,jstephens2j@istockphoto.com,Female,3.8
93,Theda Mulvihill,tmulvihill2k@shop-pro.jp,Agender,9.2
94,Jeane Crummey,jcrummey2l@live.com,Female,9.9
95,Ody Henriet,ohenriet2m@icio.us,Male,3
96,Vittoria Grosvener,vgrosvener2n@prlog.org,Genderfluid,6.6
97,Fanya Tigner,ftigner2o@webeden.co.uk,Female,1.9
98,Mallorie Caldaro,mcaldaro2p@telegraph.co.uk,Female,3.7
99,Ilaire Fairholme,ifairholme2q@home.pl,Genderqueer,5.8
100,Dwain Beazleigh,dbeazleigh2r@eepurl.com,Male,3.6
